id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
Kircher_2009-1	0.001454554031452755	0.05309166261296954	0.041789985840018716	0.0	0.01191539078141601	0.0	0.0	0.02852658565853356	0.0007813925240628821	1.861377161860926e-06	0.02788167342290559
Krach_2008-1	0.07379183582072282	5.2321633223683255e-05	3.364820149748331e-05	0.025590945265098336	0.04579551493766167	0.06308557227794508	0.0	0.0	0.0	0.0	0.0
Krach_2009_Study1-1	0.0	0.0	0.0	0.0	0.036075484184579995	0.0	0.0	0.0	0.0259077577377944	0.0	0.04040064247008017
Krach_2009_Study2-1	0.035160015290859346	0.0	0.0	0.033739679654720627	0.018596259262254923	0.0	0.0	0.0	0.0	0.0	0.0
LeBouc_2013-1	0.0	0.0	0.02158036061487605	3.182484067942859e-11	0.017099774833505756	0.0	0.0001258431511967464	3.19387247415511e-06	0.0	0.06800767871777957	0.0
Lee_2018-1	0.0006547471809808461	0.0010167131728401242	0.0007692153060636224	0.011878907153361689	0.0003907804261550008	9.930399570125134e-06	0.06126169645206352	6.145492100520576e-05	0.07185146300957612	0.05218978503707706	5.7531490811469565e-06
Lemmers-Jansen_2020-1	1.1919646775598048e-06	0.05219615148873958	0.1041135459711742	0.02160348254862205	0.03867058343841701	0.06033593120227507	0.0958351622337364	0.14608552305683148	9.254503319817399e-06	1.463541576028685e-05	0.1208267424319871
Lopez-Sola_2018-1	0.0	0.0	0.00011196186116859311	0.0	0.014832124180396637	0.029676372113332884	0.0	0.0	2.760673405381127e-07	0.0	1.4410179553828843e-07
Lopez-Sola_2019-1	1.773633380420598e-05	0.02645018747107823	0.0036129442641519177	0.0	0.02470851969476122	0.037642125533340676	0.06131678313023415	0.0	0.05734327942103989	0.0	0.11235300751438693
Ma_2018-1	0.0	0.0	0.0	0.027245094718524782	5.867290183761829e-09	0.0	0.0	0.0	0.0	0.0	0.0
Muller-Pinzler_2015-1	0.0014904390087649695	0.057867221879162885	0.0	0.06977599741067855	0.030154494361080263	0.0	0.0	0.0	0.0	0.0	0.0
Newman-Norlund_2008-1	0.059945554522294206	0.07266235338359348	0.0	0.0361719581801783	0.0018604838821069372	0.0	0.08396130430437859	0.032493041389077874	0.0	0.0008280078565252169	0.0
Ozdem_2017-1	1.3003989490963e-08	0.0	0.0	5.954265565849548e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pfeiffer_2014-1	0.0	0.0	0.002948742260605687	0.0	0.0012843473402372261	0.00018261401086925403	1.8542849594904707e-08	0.0	0.07543883580140057	0.0	0.0006987861808351314
Polosan_2011-1	6.8590543214963234e-09	0.0	1.4579409881298056e-07	0.0	0.010045442101513768	9.601087650360888e-05	0.0007175516900655432	0.0	0.0	0.0	1.3518034493961047e-05
Radke_2011-1	0.008505039947221644	0.0	0.0	0.0	0.014286738896713936	0.03312326301335444	0.0	0.003984030275027272	0.0	5.871732283843907e-06	0.0
Redcay_2010_Study1-1	0.031855134856429324	2.9044180899077837e-10	0.023860636189227093	0.0	0.0018535791781145714	0.03631992288329144	0.0	0.0	0.0007304601345811967	1.1383185706500434e-05	5.46364865438365e-08
Rice_2016a-1	0.0	0.0	0.0	0.0	0.027644027693654424	0.0	0.0	0.0014641913557805804	0.0	0.00047309918869149856	0.0
Rice_2016b-1	0.015570766016401566	0.0	0.0	0.0020555429987437457	0.0	0.0	0.0	0.002694058901240375	0.0	0.050996286471926076	0.0
Riedl_2014-1	0.0	0.0	0.0017568703083490483	0.011099859111373522	0.01878289828302862	0.0	0.0	0.00012990793172685926	4.422984655590684e-11	0.0002020948515524851	0.0
Rilling_2004-1	0.049565900958622636	0.0710333099278315	0.035275913838585325	0.04733517421830097	0.020953619413019462	0.0021294127377746185	0.0367881326951259	0.0	0.0016826083912320556	0.0	0.1119901835667327
Rilling_2008-1	0.018360154574501252	0.0002178311315879999	0.05278941876838612	0.015008633040404114	0.010202873275478534	0.05107165703234169	0.0	0.0002956057704366213	0.0	0.056456244927199924	0.0
Rilling_2012-1	0.0	0.0	0.04183190638459716	0.004507647751008549	0.006469611644842518	0.0	6.0024265752964826e-06	6.865740060850413e-06	0.006232483195410042	2.8105590624780404e-10	0.03361592920027934
Schindler_2019-1	0.0	0.0	0.03942484979147993	0.024858359416747952	0.036390601431328946	0.06933738522051633	0.0	2.1028751917820452e-07	0.09630332669814501	0.0	0.0
Schuwerk_2017-1	0.0	0.0	0.0	0.020491002997672127	0.004340759196936972	0.0	0.0	0.0	0.0	0.0	0.0
Sip_2010-1	0.0	0.0	0.0	0.011902041521771729	0.00019309271853784678	0.0	0.0	0.01776030186696204	0.0	0.0015051298344256547	0.0
Sun_2016-1	0.0	0.0	0.0	0.02879817967622954	0.00690814174874016	0.0	0.0	0.0	0.0	0.0	0.0
Takahashi_2014-1	0.02197471428481624	0.0	9.915111835887876e-05	0.025404955636594905	0.011913769200001806	0.0	0.0	1.8654474025330992e-06	0.0	0.0005775501154623285	0.10409040636728926
VanHoorn_2016-1	0.030000262927097524	0.0589284929390014	0.008061849312577217	0.03605803589602195	0.021524260295767962	0.00033828721845940394	0.0630792469440876	0.06633088993496027	7.397877306533743e-06	0.09223936947498934	0.10771605194143002
Vanlangendonck_2018-1	7.922840707473344e-07	0.0	0.07410679877019492	1.2501913008410027e-07	0.03853516423784553	0.10044533085302189	0.0	0.0	0.0	0.0	0.0
Wagner_2015-1	0.0	0.0	2.1578764464407878e-10	0.05785385365911683	0.0010409462300108147	2.244050454440574e-11	3.4655817840971715e-06	2.5366517671842266e-05	0.05985346822775475	0.09930465487201014	0.0
Warnell_2018-1	0.033655515417667495	0.0	0.04260383610708419	0.0	0.007369572935540105	0.04600404870060892	0.0	0.0	0.03470325545464867	0.0	0.0
Wilbers_2012-1	0.0002688681629992735	0.0	0.0	0.00016443312061340584	6.809026533456419e-14	5.5681635283947907e-11	0.0	0.0	0.0	0.0	0.0
Xie_2020-1	0.0031050299638092573	0.0	0.0	0.0004966428800168262	2.881753401970741e-06	0.009728872465730228	1.1086572922205385e-06	1.7797315421700662e-06	1.5480290473734225e-05	0.012020056773518304	0.0
Yoshioka_2021-1	0.09135170741064506	0.12559278225000714	0.13785555903739488	0.16328246864656684	0.12143864283870343	0.08357544188433583	0.09734289316637618	0.13740281872971083	0.206650137640956	0.20778608142521124	0.17788547257079415
deQuervain_2004-1	0.0004619307504415603	0.0	1.0965036153847783e-10	2.985364221084336e-07	0.00164841872477991	0.0	0.0	0.0653404425109515	0.005341488222567322	0.0	0.0
vandenBos_2007-1	0.0	0.0	0.0	0.0	0.0	7.595042076960972e-10	0.0	0.0	0.0	0.0	0.0
