Feature,dMPFC_r,lAI_r,lDLPFC_r,lIPL_r,lTPJ_r,Precuneus_r,rAI_r,rIFG_r,rTPJ_r
Hand-Eye Coordination,0.0021094240722613,0.0025715805026133,-0.0077426479428436,-0.0098191898002817,0.0317633315148262,0.0040549781113642,-0.0020419987683844,-0.0093095461871441,0.0204680833171464
Hunger/Satiety,-0.0104041329244533,-0.004403713029906,-0.018118797330631,-0.0161899292663926,-0.0122686444560152,-0.0091435898634876,0.0098523699085521,-0.0163728878135138,-0.0176765218858392
Hypercapnia,-0.0117162272816402,-0.0137013756283022,-0.014492967925553,-0.0128605484808525,-0.0097456569590116,-0.0109626227359634,-0.0122136772409326,-0.0130140575276604,-0.0068589235669442
Imagined Movement,-0.0249391761612106,0.0025471889803022,0.0032614328749422,0.0001643937215465,-0.0119426518837166,-0.011347122375832,-0.0304557634220752,-0.0234765871056114,-0.0194473330236802
Imagined Objects/Scenes,-0.0075104619415274,0.00073913805289,-0.0042785961200094,-0.0048843138862973,0.0137290167308817,0.037897853698839,-0.0075746298869282,-0.0156596895330656,0.0199366523647373
Isometric Force,-0.0179148955411197,-0.0159851435691872,-0.0067304698924118,0.0210031822210258,-0.0107150680574159,-0.0136383335414297,-0.0088947648991496,-0.0019231492636617,-0.0027713896917309
Lexical Decision,0.0001517784445054,0.0048763636652444,-0.0082618561996213,-0.0065728637416181,-0.0008286242400388,-0.0146044171426246,0.0059357173869282,-0.0037047073741894,-0.0179001465591534
Luminance,-0.0102011533960691,-0.0009087887319995,0.0078432031226459,0.0110130371056673,-0.0056237106172264,-0.0063259581300857,-0.0092257729931647,-0.0079578862944085,0.0121712542299077
Magnitude Comparison (Non-symbolic),-0.0124954461548979,-0.0043893401277461,0.0060182576030703,0.0260872651403802,-0.0068885125514688,-0.0077486992032767,-0.0113006975973738,-0.0065637823402569,0.0245287345937382
Magnitude Comparison (Symbolic),-0.0134975081275039,-0.0118191176361442,-0.0034851636832994,0.0227509544269978,-0.0074409311198077,-0.0083700997289171,4.909696647667324e-07,-0.0075814740617075,0.0250710640511037
Meditation,-0.0134975081275039,0.0099080148478621,-0.0110655624868783,-0.0098191898002817,-0.0074409311198077,-0.0083700997289171,-0.0042269877904835,-0.0105293618050993,-0.0058944427046092
Mental Rotation,-0.0214515752376381,-0.0314307582520543,-0.0074480349591725,0.0449794267201991,-0.0273855070683738,-0.0211596778667476,-0.0211637463343195,0.0044500256239055,-0.0147908044952456
Micturition,0.007753505248919,0.0164668207754429,-0.0190112041133048,-0.0185784344654385,-0.0025866170231999,-0.0041655858725838,0.0156818128728266,-0.0124366452652803,0.0040894307128053
Multi-Tasking,0.0125033598346107,0.036578846204367,0.0271270496705802,-0.0017697876155487,-0.0028113033330852,-0.0012979179743613,0.0352105769873013,0.0562416540472486,-0.0041919497965461
Music Comprehension,-0.0050045236215727,0.0112351200727899,0.0056806561022697,-0.0031267576239319,-0.0006836928452861,0.0222636965234422,-0.0019963730001797,0.0137125486806265,0.0341229012574698
Music Production,0.0023252145100589,0.0123705114061256,-0.0055872005248786,-0.0149353100426556,-0.0002862919982806,-0.0130524077568232,0.0234509466545155,0.0036186996659391,-0.0068997344588504
Naming (Covert),-0.0302663984914952,0.0122650319992926,0.0194668783422577,0.0068351805016551,-0.0064792822354056,-0.0166728144346379,-0.0275100026197494,-0.0290128370812631,-0.0085807216089782
Naming (Overt),-0.0357018544445364,-0.0077314247991927,-0.0060529564693133,-0.0176888738938479,-0.0258232125672701,-0.018406594232562,-0.0293243634994207,-0.036591739751196,-0.0312419392432498
Object Manipulation/Discrimination,-0.0210481338917103,-0.0177966914670663,-0.0112547750390265,-0.0044785099677061,-0.0112407244355098,-0.0107890713174671,-0.0190356225100467,-0.0164195801902418,-0.0122352003875343
Oddball Discrimination,0.0145179604362547,0.0131944153782352,-0.003274723115744,0.0058929046089381,0.0094626346540193,-0.0035155281276371,0.0330815152867156,0.0242176756636759,0.0426265557446673
Olfactory Monitor/Discrimination,-0.0044107011543086,0.0079971556674564,-0.0294038537055974,-0.0190834804649216,-0.0130508610913723,-0.0137041897676351,0.0010301951031366,-0.0199943261856227,0.0080004254693186
Orthographic Discrimination,0.0004759008018147,0.0091748860144761,0.039014908811518,0.0370126188609396,0.0041328307797355,0.0091631427558781,0.000280562716874,0.0375956699621617,0.0040879807691641
Pain Monitor/Discrimination,0.018913071222548,0.0167245543386983,-0.061880542383251,-0.0215063908278246,-0.0346608584966945,-0.0232341238386135,0.0676074642730402,-0.0045554705822334,-0.004808835874365
Paired Associate Recall,0.0425849255641994,0.0289638001178045,-0.0111945978564976,0.0179861135860258,-0.0164386263687093,0.0017369473026731,0.0258211045224923,-0.0238278213075761,-0.0037553680719332
Passive Listening,-0.0383876281211884,-0.0206846408909442,-0.0303389196570813,-0.0428364364091366,0.0054739189201635,-0.0143321214168256,-0.0229064703302036,-0.0192620516519293,-0.0013633135765808
Passive Viewing,0.0002997201655722,-0.0289779545420736,-0.0424748439144318,-0.0274825933383134,-0.0254770468900613,0.0005508123584562,-0.0195035284276756,-0.0158554240665872,-0.0109383737621477
Phonological Discrimination,-0.0048152734210279,0.0141188887155381,0.065919993331759,0.0277903078423786,-0.0217125407946147,-0.010452869097995,0.0034059581163799,0.0145886774436556,-0.0105322317125241
Physical Size,-0.0102011533960691,-0.0009087887319994,0.0052337077899511,0.0172224482213125,-0.0056237106172264,-0.0063259581300857,-0.0092257729931647,-0.0040589631845905,0.0154129034497119
