Feature,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,lDLPFC_likeFwrd,lDLPFC_zRvrs,lDLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,Precuneus_likeFwrd,Precuneus_zRvrs,Precuneus_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Deception,1.0644427474779954,0.6153686251966712,0.0006811464883494,0.4971691596083378,-0.0,0.0002943270237028,0.0,-0.0,0.0,0.0,-0.0,0.0,5.64108275215735,5.920179086577389,0.0036717854397008,1.152317304512783,0.0,0.0007492544844657,1.2862677512370708,1.197192117854346,0.000765230404482,0.7903714845055627,-0.0,0.0004831650155219,2.0948681094176567,2.585989264523866,0.0012695445352452
Delay Discounting,0.9590700593887306,-1.1736351362668918,0.0004956949502527,0.0,-0.0,0.0,0.3366432784218019,-0.0,0.0001671770918847,0.5639202125847443,-0.0,0.0002785056482814,2.9043733824626043,0.0,0.0015269092264734,0.519122812519601,-0.0,0.0002726298019269,0.8278113403814801,-0.7177327794443782,0.0003977756135843,0.3560650060230597,-0.0,0.0001758083337648,1.6178487652309896,2.5597118838423008,0.0007919087169386
Delayed Match to Sample,0.8133053045340212,-0.4973752212752086,0.0021918588877023,1.139611263409566,2.167532794367312,0.0028413416812469,1.63501252337108,3.894190383648176,0.0042337257937854,0.5216863743896121,-0.0,0.0013434473912554,1.175499199809273,1.280571860344447,0.0032223887575381,0.4802439988539887,-0.0,0.0013151036556614,1.1487207424152786,2.610159690833012,0.0028781675363093,1.482291573385869,3.139255583867933,0.0038162659165688,0.9977885024733356,-1.2735224933212197,0.0025466573872583
Digit/Numerical,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,6.341442390575615,0.0,0.0005219791395463,0.0,-0.0,0.0,0.0,-0.0,0.0,1.861794561763631,0.0,0.0001491033117586,0.0,-0.0,0.0,6.064389082249496,0.0,0.0004947354248379
Divided Auditory Attention,0.9526762589928058,-0.0,0.000281365895572,1.3348991935483872,0.0,0.0003647391039887,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,3.0939719626168225,0.0,0.0009284992111341,0.9867511177347243,-0.0,0.0002709420179385,1.061073717948718,0.0,0.0002993764769253,4.017657766990292,3.3552904127503087,0.0011237561792747
Drawing,0.0,-0.0,0.0,0.3647265556143134,-0.0,0.0001619401759512,0.0,-0.0,0.0,0.0,-0.0,0.0,1.1823815136254865,0.0,0.0005772098305384,1.690695061539247,0.0,0.0008244870044223,0.2696041305286132,-0.0,0.0001202952948497,0.0,-0.0,0.0,1.317264841636161,0.0,0.0005987225545316
Driving,0.0,-0.0,0.0,2.4270894428152494,0.0,0.000165790501813,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.7940929413358622,0.0,0.0001231554626993,3.8584498834498833,0.0,0.0002721604335685,0.0,-0.0,0.0
Emotion Induction,1.4375087584253583,0.5893638425656232,0.0038033284352304,0.9155687198548608,-1.1100045225991415,0.0022410524507765,1.1009020243588146,0.4366805861283684,0.0027986246722995,0.6915564746924026,-0.0,0.0017483692813434,0.2968118202928176,-0.0,0.000798787266805,1.6976526543850876,0.8303446964206338,0.0045639535983958,0.6767840313681236,-2.169654754172273,0.0016647386218792,1.0188636523513068,0.621134473820583,0.002575226324718,1.212461877555369,0.1806410801998127,0.0030380468266859
Encoding,0.7560922690419093,-1.2730420868414054,0.0018515811249616,0.4074783863090315,-2.307681587358529,0.0009231669934594,1.1024142524142526,0.1441233190327467,0.0025939131090925,0.6155612576932374,-0.0,0.0014404275208778,0.2641951367441563,-0.0,0.0006580961898099,0.9444358860246712,-0.2490066525402047,0.0023500628690436,0.7831358077259716,-1.1347684141089855,0.0017829848402705,0.6477861525938449,-1.1338361531046908,0.0015154639526899,0.8830017070308332,-0.549365334622638,0.0020478706930007
Episodic Recall,2.721932168550873,0.0,0.0004019512793886,0.0,-0.0,0.0,1.9108513708513712,0.0,0.0002711225762267,0.0,-0.0,0.0,0.0,-0.0,0.0,2.946639964396974,0.0,0.0004421424814924,0.0,-0.0,0.0,2.021092796092796,0.0,0.0002851204542146,0.0,-0.0,0.0
Estimation,1.7165337999870376,0.0,0.00023235922307,0.0,-0.0,0.0,3.615124215124216,0.0,0.0004701900533662,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.777929941864368,0.0,0.000223750915715,3.8236890736890734,0.0,0.0004944656525794,2.895609201434444,0.0,0.0003712107499105
Face Monitor/Discrimination,1.2798804881328585,0.9733149094839526,0.0069773099444696,1.1306097141618932,0.0498925916652891,0.0057021554577285,1.1133611229113567,0.0306599824611216,0.0058317286319744,0.5889540537976184,-1.6738089349010894,0.0030679776912737,1.2638774357094862,0.3955883618402976,0.0070084207632282,1.0843359682068303,0.1198085120005993,0.0060065004458588,0.6916479797206011,-2.576002416210721,0.003505470617605,1.2395721004073808,0.4739850370551089,0.0064555967327654,1.3611223743308227,1.1097802103807983,0.0070273051183523
Figurative Language,0.4390213175082054,-0.0,0.0001782848416643,1.8454827560576783,0.0,0.0006933404626513,0.0,-0.0,0.0,3.097663103230485,0.0,0.0012020296445905,5.98274148369025,0.0,0.0024713010752369,1.425793531159826,0.0,0.0005883347535988,1.8188960695570957,0.0,0.0006867194003051,1.9558962542833511,0.0,0.0007587883055711,0.7405820768645698,-0.0,0.000284822994747
Film Viewing,0.8276565578812671,-0.2027222802850707,0.0020370187531889,0.9766066345118516,-0.8786714327754119,0.0022236799511581,1.00916018899558,0.8336205544289742,0.0023864241391701,0.7683960829915584,-0.0701078491924267,0.0018071000323963,0.7914981874475137,-0.0,0.001981487793625,0.5658842181283625,-0.0,0.0014151794103553,0.7219029667926652,-0.3946277832326553,0.001651833671322,2.0377273047026137,4.6480019764552525,0.0047911187436614,1.2492031465721984,1.9732044451472637,0.0029117291644065
Finger Tapping/Button Press,0.6117929016209068,-3.1383509764800284,0.004381696467267,0.6161485340480214,-2.5856107528858727,0.0040825453592154,0.4026477903660324,-3.209985722314143,0.0027708041730579,0.5395889170387439,-1.9053626762986264,0.003692776821409,0.6947648147492324,-1.1240510660561331,0.0050614188928575,0.9934487538003042,-0.0772989696416046,0.0072297349773236,0.6930822621054656,-2.452802127173805,0.0046149315216813,0.7239916999850774,-1.4729024186235986,0.0049535602092104,0.967527457432942,-0.2621987414782875,0.0065625737140068
Fixation,1.6787246854498783,0.0,0.0006197486686609,0.0,-0.0,0.0,0.0,-0.0,0.0,2.9612021735727545,0.0,0.0010446152698284,1.906394863378538,0.0,0.0007158888443818,1.3629832434435345,0.0,0.0005112881118579,0.4346921223500988,-0.0,0.0001491971464419,0.9348667118490908,-0.0,0.0003297097763495,0.0,-0.0,0.0
