Feature,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,lDLPFC_likeFwrd,lDLPFC_zRvrs,lDLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,Precuneus_likeFwrd,Precuneus_zRvrs,Precuneus_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Fixation,0.1120495643416962,0.8093319718339829,0.5949747958266578,0.0325758570865624,-1.4457512932177474,0.0,0.0216734533035597,-1.1657993946758722,0.0,0.0461403739218004,1.4161731535397002,0.7224330992598217,0.0266495906125487,0.5217152932722567,0.6254004764643063,0.0306558956171461,0.1774384678330964,0.543669213739913,0.0606703445860151,-1.0561158243791164,0.274708620503013,0.0370922544769911,-0.2076848302744153,0.4493301068287788,0.0270589780638381,-1.3099782033188163,0.0
Flanker,0.211703431372549,4.388593188633977,0.7872648335745296,0.0879216269841269,0.9765525836513804,0.6318758815232722,0.0401177832244008,-0.1572383356654788,0.4616037335596096,0.031386165577342,0.3699372592822453,0.5900216919739697,0.0100446428571428,-0.7439695330631917,0.0,0.0140493697478991,-0.8834704982589442,0.0,0.0809577303143479,-0.2523402332057513,0.4574861090253792,0.1496532640834111,5.7462256722082685,0.8661998147756999,0.027048319327731,-1.242509653003415,0.0
Flashing Checkerboard,0.045555846879916,-1.226124906829162,0.0,0.0325117986366019,-1.021294902666588,0.0,0.0216308337703198,-0.823533746709875,0.0,0.0129129522810697,-0.630585259163421,0.0,0.0100288411116937,-0.5540858043403238,0.0,0.0140272679601468,-0.6579818660358699,0.0,0.0439826953329837,-1.202693013107654,0.0,0.0204509701101206,-0.7997751471408174,0.0,0.0270057682223387,-0.9253832716111132,0.0
Flexion/Extension,0.0464385941467325,-4.043119204119623,0.0,0.0484326974475477,-1.7460167400548154,0.3226126320327657,0.0312245255913403,-1.5363107556744595,0.3002447538418328,0.0162213517305893,-1.5751401301646624,0.1926473238421337,0.0163395362822397,-0.6862019391603389,0.3825077953279149,0.0173572597888547,-1.6853676490169456,0.1800399393691504,0.0478931411198717,-3.683522447195529,0.0652494266805019,0.0269636175330749,-1.8296912521731168,0.2317938233745315,0.036703611519444,-1.990049248948387,0.255424455847717
Fluency Induction,0.0454842931937172,-0.5479089255910131,0.0,0.0324607329842931,-0.4563781305762152,0.0,0.0215968586387434,-0.3680061369233908,0.0,0.012892670157068,-0.281784743069331,0.0,0.0100130890052356,-0.2476000251283051,0.0,0.0140052356020942,-0.2940272522563777,0.0,0.043913612565445,-0.537438097013918,0.0,0.0204188481675392,-0.3573893158385847,0.0,0.0269633507853403,-0.4135188440299659,0.0
Gambling,0.0455857274039092,-1.416271334757652,0.0,0.0824019414928505,0.6381193455526103,0.6067818196290695,0.0216450216450216,-0.9512466732993924,0.0,0.0129214220123311,-0.7283758952286816,0.0,0.0100354191263282,-0.6400129687543115,0.0,0.0639052866325593,1.9543908229834948,0.7824078825823669,0.044011544011544,-1.3892056425006678,0.0,0.0204643841007477,-0.9238036099244986,0.0,0.0270234815689361,-1.0688909375769535,0.0
Go/No-Go,0.1438879913839526,5.64222772928697,0.6949850299401198,0.083069091182327,2.259911889009677,0.6159064697768029,0.0380211268487558,-0.7770385016677442,0.4281585296563764,0.022293709534007,-0.6730355446170891,0.4172623478028845,0.0148154061940363,-1.137954300688122,0.313940956446398,0.0279545653780165,-0.0083396586398796,0.4991488217901622,0.1490472880740379,6.630760463650276,0.7177369381783504,0.054875643385806,2.175731736304295,0.6356867779204108,0.0728982730335249,2.5763498192243053,0.6380347019412471
Grasping,0.0457297012764837,-2.103984534546169,0.0,0.043933711373506,-1.13875814690205,0.258654140712754,0.0217133833399131,-1.413153143781532,0.0,0.0129622318726148,-1.0820607473211543,0.0,0.0100671140939597,-0.9507905407112508,0.0,0.014080800105277,-1.129072301231874,0.0,0.0780440608213999,-0.4610013740856283,0.4368161873191668,0.0318268552082211,-0.6083157277316824,0.357045529295682,0.0384066683415281,-0.9184341323439322,0.2958766499240743
Hand-Eye Coordination,0.0455081194342587,-0.8371638900308147,0.0,0.1038408291551298,0.8376978686575388,0.6878659580217998,0.0216081718177056,-0.562285874079675,0.0,0.0128994237820848,-0.4305460280735459,0.0,0.0813814263264237,2.321458265373113,0.8777011494252874,0.0853756641472723,1.8428915184932169,0.8366385449764435,0.0439366160293347,-0.8211652465080952,0.0,0.0204295442640125,-0.546064164916003,0.0,0.0983405672378956,1.0426003489353148,0.726338818605536
Hunger/Satiety,0.0718299552659192,-0.5813964328658834,0.3663623258049014,0.0587790633456674,-0.2172825631152288,0.4477068530154443,0.0216421825813221,-0.9270997622003928,0.0,0.0129197271773347,-0.7098864450340931,0.0,0.0100341028331584,-0.6237665663305205,0.0,0.0140346274921301,-0.7407283963421228,0.0,0.1227563925553653,1.0811140569355795,0.6431222584636148,0.0204616998950682,-0.9003533269769585,0.0,0.0270199370409234,-1.041757686897959,0.0
Hypercapnia,0.0455379373607653,-1.096463864447501,0.0,0.0324990171668195,-0.9132943548257614,0.0,0.0216223299698597,-0.7364461723199082,0.0,0.0129078757698859,-0.5639017250811708,0.0,0.0100248984405713,-0.4954919836296441,0.0,0.0140217533743939,-0.5884011780135792,0.0,0.0439654042720482,-1.0755098616390524,0.0,0.0204429301533219,-0.7152000123632377,0.0,0.0269951513563097,-0.8275252483939355,0.0
Imagined Movement,0.0577441586503631,-2.151565710090708,0.2061639165416609,0.0563535111094312,-0.6463492447851247,0.4225029344363087,0.0336007534380335,-0.8781449749165966,0.3543004452777126,0.0248032934565544,-0.114320690772691,0.4799669820306051,0.0101203862944833,-1.3171772064694711,0.0,0.0200415461858774,-0.8991134152768462,0.2970020824329103,0.0561566470747579,-2.0836724776708984,0.2119920352245001,0.0324101197563295,-0.7923250368855862,0.3673161961222606,0.0272522820478899,-2.199828515847773,0.0
Imagined Objects/Scenes,0.0949173079599129,0.2842118159350963,0.5215587289512811,0.0670719219893349,0.1811516799102613,0.5166612841666421,0.0365300849894058,-0.6706536902034933,0.406554902700663,0.0228285955087155,-0.3813541457870437,0.4337099974122315,0.0247957970021345,0.6995369309317822,0.5989517153748412,0.0483766157045298,2.533200556661605,0.7163267798265966,0.0835578187890388,-0.3069057323104164,0.4739707303278109,0.0353367675669714,-0.5684708300383485,0.4202842017275007,0.0761557062627503,2.020617039663522,0.6500491286135388
