Feature,aMPFC_likeFwrd,aMPFC_zRvrs,aMPFC_probRvrs,dACC_likeFwrd,dACC_zRvrs,dACC_probRvrs,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,ldLPFC_likeFwrd,ldLPFC_zRvrs,ldLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,pACC_likeFwrd,pACC_zRvrs,pACC_probRvrs,PCC_likeFwrd,PCC_zRvrs,PCC_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rdLPFC_likeFwrd,rdLPFC_zRvrs,rdLPFC_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rIPL_likeFwrd,rIPL_zRvrs,rIPL_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Isometric Force,0.0030827758100485,-0.35224141629926,0.0,0.0035419126328217,-0.377736168866618,0.0,0.005640823822642,-0.4777035649006252,0.0,0.0113472386199658,-0.6814699631646131,0.0,0.0385773317591499,0.6270978223060235,0.6480489671002295,0.010691328873147,-0.6610388299024798,0.0,0.0026236389872753,-0.3248040741678849,0.0,0.001639774367047,-0.2565272396148825,0.0,0.0035419126328217,-0.377736168866618,0.0,0.004460186278368,-0.4242746711396437,0.0,0.0055752328479601,-0.4748866783498934,0.0,0.0034763216581398,-0.3741976145303783,0.0,0.002230093139184,-0.2993364709534463,0.0,0.0022956841138659,-0.3037265366330143,0.0
Lexical Decision,0.0030835848313869,-0.3694823867059669,0.0,0.0035428421466999,-0.3962250171610479,0.0,0.0056423041595591,-0.5010854633501618,0.0,0.01135021650702,-0.7148255054839148,0.0,0.0136465030835848,-0.7856488342668051,0.0,0.0106941346280015,-0.6933943405740307,0.0,0.002624327516074,-0.3407020838044028,0.0,0.0016402046975462,-0.2690833398974139,0.0,0.0035428421466999,-0.3962250171610479,0.0,0.0044613567773258,-0.4450414143758205,0.0,0.0055766959716572,-0.4981307001744424,0.0,0.003477233958798,-0.3925132631163964,0.0,0.0022306783886629,-0.3139879315669587,0.0,0.0022962865765647,-0.318592875420877,0.0
Luminance,0.003076318889907,-0.1573620923040963,0.0,0.003534494043723,-0.1687517455962185,0.0,0.0056290090325958,-0.2134116801586514,0.0,0.011323471658594,-0.3044433002020163,0.0,0.0136143474276737,-0.3346068684862214,0.0,0.0106689357245712,-0.2953157935276119,0.0,0.0026181437360911,-0.1451045968328985,0.0,0.0016363398350569,-0.114602262229426,0.0,0.003534494043723,-0.1687517455962185,0.0,0.0044508443513548,-0.1895425888971676,0.0,0.0055635554391936,-0.2121532501703114,0.0,0.0034690404503207,-0.1671709141314448,0.0,0.0022254221756774,-0.1337270723785061,0.0,0.0022908757690797,-0.1356883122802397,0.0
Magnitude Comparison (Non-symbolic),0.0030771245253371,-0.1927536499907546,0.0,0.0035354196674086,-0.2067048958851169,0.0,0.0056304831740212,-0.2614090833372119,0.0,0.011326437082624,-0.3729141908952748,0.0,0.0136179127929815,-0.4098617034657758,0.0,0.0106717297368076,-0.3617338602257608,0.0,0.0026188293832656,-0.1777393796717456,0.0,0.001636768364541,-0.1403769104647601,0.0,0.0035354196674086,-0.2067048958851169,0.0,0.0044520099515516,-0.2321717085969065,0.0,0.0055650124394395,-0.259867625861916,0.0,0.003469948932827,-0.2047685271549239,0.0,0.0022260049757758,-0.1638029904541621,0.0,0.0022914757103574,-0.1662053234686223,0.0
Magnitude Comparison (Symbolic),0.0030775275013095,-0.2082113695745417,0.0,0.003535882661079,-0.2232814240978968,0.0,0.0056312205343111,-0.2823725686308773,0.0,0.0113279203771608,-0.4028197360922169,0.0,0.0136196961760083,-0.4427302238834757,0.0,0.0106731272917757,-0.3907428080490518,0.0,0.00261917234154,-0.191993042261761,0.0,0.0016369827134625,-0.1516343207296591,0.0,0.003535882661079,-0.2232814240978968,0.0,0.0044525929806181,-0.2507905267980242,0.0,0.0055657412257726,-0.2807074952478948,0.0,0.0034704033525405,-0.2211897698784612,0.0,0.002226296490309,-0.1769390358340948,0.0,0.0022917757988475,-0.1795340219582946,0.0
Meditation,0.0030775275013095,-0.2082113695745417,0.0,0.003535882661079,-0.2232814240978968,0.0,0.0056312205343111,-0.2823725686308773,0.0,0.0826910124971937,2.1395016866599,0.8638009049773756,0.0136196961760083,-0.4427302238834757,0.0,0.0106731272917757,-0.3907428080490518,0.0,0.00261917234154,-0.191993042261761,0.0,0.0016369827134625,-0.1516343207296591,0.0,0.003535882661079,-0.2232814240978968,0.0,0.0044525929806181,-0.2507905267980242,0.0,0.0055657412257726,-0.2807074952478948,0.0,0.0034704033525405,-0.2211897698784612,0.0,0.002226296490309,-0.1769390358340948,0.0,0.0022917757988475,-0.1795340219582946,0.0
Mental Rotation,0.003122508636726,-0.8574310462879982,0.0,0.0035875631145362,-0.9194907342098506,0.0,0.0099205943612002,-0.2795560037161256,0.4307709919294831,0.015700557156842,-1.0324645369829424,0.2721880650994575,0.0180258295458933,-1.2506020360440158,0.2370767049929123,0.0192432615366444,-0.3193582756167639,0.4441559208002597,0.0026574541589157,-0.7906426793258363,0.0,0.0058679767688537,1.0072199980660197,0.7282755951228953,0.0035875631145362,-0.9194907342098506,0.0,0.0129318079092195,0.9515138006519626,0.6609291297093176,0.0056470900876959,-1.155975880870996,0.0,0.0035211267605633,-0.9108771351085712,0.0,0.0022588360350783,-0.7286490787435257,0.0,0.0023252723890512,-0.7393354388213738,0.0
Micturition,0.0030847991598844,-0.3939470937295501,0.0,0.0035442373326332,-0.4224604462614162,0.0,0.0255788920976634,1.364982563241912,0.7818946936261932,0.011354686269362,-0.7621565750933722,0.0,0.0136518771331058,-0.8376693614835807,0.0,0.0106983460225781,-0.7393063786151128,0.0,0.0026253609871357,-0.3632611474093266,0.0,0.0016408506169598,-0.2869002787079674,0.0,0.0035442373326332,-0.4224604462614162,0.0,0.0044631136781307,-0.474509146012863,0.0,0.0055788920976634,-0.5311136570830708,0.0,0.0034786033079548,-0.418502924140902,0.0,0.0022315568390653,-0.334778158736406,0.0,0.0022971908637437,-0.3396880118533893,0.0
Multi-Tasking,0.0030751112274273,-0.0786656008295727,0.0,0.0035331065166186,-0.0843593095642906,0.0,0.0056267992672075,-0.1066848934067707,0.0,0.5112535985344151,6.571517404592403,0.977988226260558,0.0136090028788275,-0.1672705920832831,0.0,0.0106647474483119,-0.1476289110811912,0.0,0.002617115938236,-0.0725380561853125,0.0,0.0016356974613975,-0.0572898827329036,0.0,0.0035331065166186,-0.0843593095642906,0.0,0.0044490970950013,-0.0947526905626957,0.0,0.0055613713687516,-0.1060558019293681,0.0,0.0034676786181627,-0.0835690489928537,0.0,0.0022245485475006,-0.0668504106789962,0.0,0.0022899764459565,-0.0678308381312612,0.0
Music Comprehension,0.0031023102310231,-0.6515556550230251,0.0,0.010851291011454,0.7556085884602586,0.6776098040969675,0.0056765676567656,-0.8836282297684911,0.0,0.0332799456416229,1.19635902404107,0.662826308881435,0.0283032420889147,0.1118613625024131,0.5195829617943617,0.0180460104834012,-0.3796000197395063,0.4074552202678715,0.0026402640264026,-0.6008036576789336,0.0,0.0016501650165016,-0.474509146012863,0.0,0.0035643564356435,-0.6987143633407374,0.0,0.0044884488448844,-0.784798574138171,0.0,0.0201844302077266,1.4446779963254262,0.7285755506396075,0.010785284410794,0.7757132063447463,0.6817568175681757,0.0022442244224422,-0.5536951686528951,0.0,0.0023102310231023,-0.561815656440779,0.0
Music Production,0.0030815630736952,-0.3246866564689213,0.0,0.0035405192761605,-0.3481870331582006,0.0,0.0056386047731445,-0.4403342880585456,0.0,0.0406889742521713,1.0042881561140091,0.7228436018957346,0.013637555730396,-0.6903974379698763,0.0,0.0106871230002622,-0.6093278006093885,0.0,0.00262260687123,-0.2993956530070755,0.0,0.0016391292945187,-0.2364599046836531,0.0,0.0035405192761605,-0.3481870331582006,0.0,0.0338046312151926,2.1946091805713888,0.8700513405590417,0.0055730396013637,-0.4377377578565654,0.0,0.0034749541043797,-0.344925289016248,0.0,0.0022292158405455,-0.275920301860554,0.0,0.0022947810123262,-0.2799669462391552,0.0
Naming (Covert),0.0031031295391522,-0.6611552065486229,0.0,0.0035652977683876,-0.7090087172932451,0.0,0.0056780668163211,-0.8966469713844095,0.0,0.0184989907754994,-0.4718256331601247,0.3861214500586346,0.0278866650317858,0.0700992543158086,0.5122776161807481,0.0107619173379109,-1.2407662583025891,0.0,0.009717794420026,1.054486221819241,0.7350286324371541,0.001650600818698,-0.4815002218502096,0.0,0.0035652977683876,-0.7090087172932451,0.0,0.0044896342268585,-0.7963612308223321,0.0,0.0056120427835732,-0.8913596907777168,0.0,0.0034992737356397,-0.7023668702110942,0.0,0.0022448171134292,-0.5618529142882549,0.0,0.0023108411461772,-0.570093043491775,0.0
Naming (Overt),0.0031101111699311,-0.7379076833830129,0.0,0.0092542730752146,0.4960465936220941,0.6210240815320128,0.0056908417151932,-1.000737319941243,0.0,0.01144785600847,-1.427605893415685,0.0,0.0137638962413975,-1.5690499252613523,0.0,0.0221480379450296,0.107905605417416,0.5189738658607782,0.0026469031233456,-0.680429418098191,0.0,0.001654314452091,-0.5373968316889673,0.0,0.0092542730752146,0.4960465936220941,0.6210240815320128,0.0044997353096876,-0.8888095641563026,0.0,0.0056246691371095,-0.9948362471746116,0.0,0.003507146638433,-0.7839035448090809,0.0,0.0022498676548438,-0.627077542879412,0.0,0.0023160402329274,-0.6362742558314097,0.0
Object Manipulation/Discrimination,0.0030815630736952,-0.3246866564689213,0.0,0.0035405192761605,-0.3481870331582006,0.0,0.0056386047731445,-0.4403342880585456,0.0,0.0113427747180697,-0.6281606693175849,0.0,0.013637555730396,-0.6903974379698763,0.0,0.0106871230002622,-0.6093278006093885,0.0,0.00262260687123,-0.2993956530070755,0.0,0.0016391292945187,-0.2364599046836531,0.0,0.0035405192761605,-0.3481870331582006,0.0,0.004458431681091,-0.3910849719038886,0.0,0.0055730396013637,-0.4377377578565654,0.0,0.0034749541043797,-0.344925289016248,0.0,0.0022292158405455,-0.275920301860554,0.0,0.0022947810123262,-0.2799669462391552,0.0
Oddball Discrimination,0.0152206415513247,1.4980519764508986,0.8012225969645869,0.0156810467078625,1.328026539497677,0.7776982097186701,0.0177857559948922,0.7997108698136112,0.6856678993415711,0.0235079343690043,0.0757626934305176,0.5187662071789272,0.025809960151693,-0.111441560696415,0.4724967369009882,0.0228502127168075,0.1361453148774591,0.533698399326032,0.0026308866087871,-0.465690550873141,0.0,0.0137736539164918,2.374719634823285,0.8853948287910551,0.0035516969218626,-0.5415823832101369,0.0,0.016601857020938,1.0593013557173403,0.7345637259638613,0.0055906340436727,-0.6808727366171212,0.0,0.0034859247566429,-0.5365089514117221,0.0,0.002236253617469,-0.4291761623121766,0.0,0.0023020257826887,-0.4354704556024467,0.0
Olfactory Monitor/Discrimination,0.0102830813270417,0.8905452745534361,0.7046892445106065,0.0035648270398732,-0.7038796805567753,0.0,0.0128576786336169,0.2563674360646061,0.5635835999702359,0.025781372582787,0.3562677648395859,0.5621404980146213,0.0137311856350673,-1.3956772705968636,0.0,0.0179408579312139,-0.3947161673401492,0.4039035836177475,0.0026406126221283,-0.605245160014208,0.0,0.0016503828888302,-0.4780170032856816,0.0,0.0107451885359142,0.7399615428719506,0.6743834030807585,0.0044890414576181,-0.7906002776651111,0.0,0.0127916633180637,0.2682647338849126,0.5664921465968586,0.00349881172432,-0.6972858812303879,0.0,0.002244520728809,-0.5577884166768877,0.0,0.0094908975404032,1.2252114274964605,0.7635080645161291
Orthographic Discrimination,0.0082026116109852,0.5274248944121498,0.6284143904063957,0.0086664335033785,0.3838959996441689,0.5947820603767636,0.0107867621543194,-0.0886014646653886,0.4778671395098474,0.0267281634838967,0.5526347225771461,0.5785626661214476,0.0595775463753582,3.994386300558681,0.7786784686471675,0.0311539396853935,1.3660256094731151,0.6618282281228759,0.0026504108136761,-0.7189470348853066,0.0,0.0016565067585475,-0.5678176875118395,0.0,0.0035780545984627,-0.8361111210545344,0.0,0.0095940772881652,0.1490694224891984,0.5372730509077963,0.0107205018839775,-0.076748738680249,0.4808206958073149,0.0035117943281208,-0.8282786049312765,0.0,0.0022528491916247,-0.6625750270416119,0.0,0.0124958672717982,2.354706416258108,0.8250150330727601
