Feature,aMPFC_likeFwrd,aMPFC_zRvrs,aMPFC_probRvrs,dACC_likeFwrd,dACC_zRvrs,dACC_probRvrs,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,ldLPFC_likeFwrd,ldLPFC_zRvrs,ldLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,pACC_likeFwrd,pACC_zRvrs,pACC_probRvrs,PCC_likeFwrd,PCC_zRvrs,PCC_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rdLPFC_likeFwrd,rdLPFC_zRvrs,rdLPFC_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rIPL_likeFwrd,rIPL_zRvrs,rIPL_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Finger Tapping/Button Press,1.4135507534126668,0.7839091585484164,0.0105445408140022,0.2460625385570198,-0.0,0.0017633007829246,0.618017538701352,-0.0,0.004389849605064,0.5376395351130259,-1.7900202276298056,0.0035514474325571,0.638816205869186,-1.5475801082833636,0.0042522771830392,0.6521412064824083,-1.317061499655254,0.0045415287592124,0.6643688541039535,-0.0,0.0050112491018282,0.5314950832831628,-0.0,0.0039645262173633,0.9842501542280792,-0.0,0.0071380980808612,1.3678182290375511,0.8367327362741903,0.0101523761850015,0.4689662499557319,-0.0,0.0031915647332391,1.002820911855024,0.0,0.0068362302392331,0.7816104165928864,-0.0,0.005744318714421,0.7592786904045181,-0.0,0.005645606001716
Fixation,0.0,-0.0,0.0,0.0,-0.0,0.0,3.391609466243213,0.0,0.0012418037025996,0.0,-0.0,0.0,0.0,-0.0,0.0,3.5788762465879302,0.0,0.0012847108069823,7.291960352422909,0.0,0.0028351712469242,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,5.503366303715403,0.0,0.0019338375540498,0.0,-0.0,0.0,0.0,-0.0,0.0
Flanker,0.0,-0.0,0.0,0.0,-0.0,0.0,10.998504983388704,0.0,0.0036242928063016,0.0,-0.0,0.0,1.5158195970695971,0.0,0.0004680949308487,1.934297399941572,0.0,0.0006249200425392,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,7.418599439775911,0.0,0.0023422042806672,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Flashing Checkerboard,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Flexion/Extension,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6500792009216106,-0.0,0.0011896217893137,0.2765163063224847,-0.0,0.000529392971518,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Fluency Induction,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Gambling,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,15.719610636277302,0.0,0.0039176516363701,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Go/No-Go,0.0,-0.0,0.0,1.3538420643683802,0.0,0.0035839701104583,1.983536047795534,3.0043970787118544,0.0052048044158709,0.7043109005384637,-0.0620716902414929,0.0017186762638848,0.820115865915461,-0.4884820117499612,0.0020166769298209,0.4485120949441259,-0.0,0.0011538518758699,0.0,-0.0,0.0,0.9747662863452338,-0.0,0.0026860124305417,0.4512806881227933,-0.0,0.0012090360313199,1.0751098746454784,0.0,0.0029478653370288,0.8600878997163828,-0.0,0.0021623220723863,0.9195908361747488,-0.0,0.0023158125831285,1.4334798328606375,0.0,0.0038918424613648,0.0,-0.0,0.0
Grasping,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Hand-Eye Coordination,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,20.34132104454685,0.0,0.0018191292811759
Hunger/Satiety,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Hypercapnia,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
